"language";"availableLanguages";"uri";"title";"type";"source";"represents"
"en";"en,any";"/docs/projects/cnect/0/216710/080/publishing/logo1/VALUE-IT-PR-Logo-new-19May08.png";"VALUE-IT Logo";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/0/216710/080/publishing/readmore/VALUE-IT-Annual-Report-2009.pdf";"VALUE-IT Annual Report 2009";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/216710/080/publishing/readmore/VALUE-IT-Annual-Report-20081.pdf";"VALUE-IT Annual Report 2008";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/216710/080/publishing/logo2/VALUE-IT-PR-Image-for-PPM-16Jan08.gif";"Accelerating Innovation Impact";"relatedImage";"ppm";"projectLogo"
"en";"en,any";"/docs/projects/cnect/0/216710/080/publishing/readmore/Value-IT-AnnualPublicReport-2010.pdf";"VALUE-IT Annual Report 2010";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/0/216710/080/publishing/readmore/VALUE-IT-PPT-Call-3-Event-12Dec07.pdf";"Presentation at Call-3 Event in Luxembourg 13 Dec 2007";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/248376/080/deliverables/001-EuroAfricaICTD42Projectdissemination.pdf";"D4.2";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/248376/080/deliverables/002-EuroAfricaICTD11.pdf";"policy and research priorities : progress report";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/248376/080/deliverables/001-EuroAfricaICTD31.pdf";"Support for EU and AU organizations : progress report";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/248376/080/deliverables/001-EuroAfricaICTD12Researchpriorities.pdf";"D1.2";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/248376/080/deliverables/001-EuroAfricaICTD41.pdf";"Project dissemination : progress report";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/6/248376/080/reports/001-EuroAfricaICTPublishableSummary.pdf";"Publishable summary";"relatedPrint";"ppm";""
